INFO:__main__:Started logger
INFO:Interfaces.i2cbus:hello i2c bus
INFO:Interfaces.Surface:Attemping to bind to client
INFO:Interfaces.TCP:Connected by ('192.168.1.9', 50380)
INFO:Interfaces.Surface:Done bind to client
INFO:Drivers.Revolver:Thruster 0 enabled.
INFO:Drivers.Revolver:Thruster 1 enabled.
INFO:Drivers.Revolver:Thruster 2 enabled.
INFO:Drivers.Revolver:Thruster 3 enabled.
INFO:Drivers.Revolver:Thruster 4 enabled.
INFO:Drivers.Revolver:Thruster 5 enabled.
ERROR:__main__:CRITICAL EXCEPTION IN MAIN: 'NoneType' object has no attribute 'decode'
INFO:Drivers.Revolver:Thruster 0 enabled.
INFO:Drivers.Revolver:Thruster 1 enabled.
INFO:Drivers.Revolver:Thruster 2 enabled.
INFO:Drivers.Revolver:Thruster 3 enabled.
INFO:Drivers.Revolver:Thruster 4 enabled.
INFO:Drivers.Revolver:Thruster 5 enabled.
INFO:Drivers.Revolver:Thruster 0 enabled.
INFO:Drivers.Revolver:Thruster 1 enabled.
INFO:Drivers.Revolver:Thruster 2 enabled.
INFO:Drivers.Revolver:Thruster 3 enabled.
INFO:Drivers.Revolver:Thruster 4 enabled.
INFO:Drivers.Revolver:Thruster 5 enabled.
INFO:Drivers.Revolver:Thruster 0 enabled.
INFO:Drivers.Revolver:Thruster 1 enabled.
INFO:Drivers.Revolver:Thruster 2 enabled.
INFO:Drivers.Revolver:Thruster 3 enabled.
INFO:Drivers.Revolver:Thruster 4 enabled.
INFO:Drivers.Revolver:Thruster 5 enabled.
INFO:Drivers.Revolver:Thruster 0 enabled.
INFO:Drivers.Revolver:Thruster 1 enabled.
INFO:Drivers.Revolver:Thruster 2 enabled.
INFO:Drivers.Revolver:Thruster 3 enabled.
INFO:Drivers.Revolver:Thruster 4 enabled.
INFO:Drivers.Revolver:Thruster 5 enabled.
INFO:Drivers.Revolver:Thruster 0 enabled.
INFO:Drivers.Revolver:Thruster 1 enabled.
INFO:Drivers.Revolver:Thruster 2 enabled.
INFO:Drivers.Revolver:Thruster 3 enabled.
INFO:Drivers.Revolver:Thruster 4 enabled.
INFO:Drivers.Revolver:Thruster 5 enabled.
INFO:Drivers.Revolver:Thruster 0 enabled.
INFO:Drivers.Revolver:Thruster 1 enabled.
INFO:Drivers.Revolver:Thruster 2 enabled.
INFO:Drivers.Revolver:Thruster 3 enabled.
INFO:Drivers.Revolver:Thruster 4 enabled.
INFO:Drivers.Revolver:Thruster 5 enabled.
INFO:Drivers.Revolver:Thruster 0 enabled.
INFO:Drivers.Revolver:Thruster 1 enabled.
INFO:Drivers.Revolver:Thruster 2 enabled.
INFO:Drivers.Revolver:Thruster 3 enabled.
INFO:Drivers.Revolver:Thruster 4 enabled.
INFO:Drivers.Revolver:Thruster 5 enabled.
INFO:Drivers.Revolver:Thruster 0 enabled.
INFO:Drivers.Revolver:Thruster 1 enabled.
INFO:Drivers.Revolver:Thruster 2 enabled.
INFO:Drivers.Revolver:Thruster 3 enabled.
INFO:Drivers.Revolver:Thruster 4 enabled.
INFO:Drivers.Revolver:Thruster 5 enabled.
INFO:Drivers.Revolver:Thruster 0 enabled.
INFO:Drivers.Revolver:Thruster 1 enabled.
INFO:Drivers.Revolver:Thruster 2 enabled.
INFO:Drivers.Revolver:Thruster 3 enabled.
INFO:Drivers.Revolver:Thruster 4 enabled.
INFO:Drivers.Revolver:Thruster 5 enabled.
INFO:Drivers.Revolver:Thruster 0 enabled.
INFO:Drivers.Revolver:Thruster 1 enabled.
INFO:Drivers.Revolver:Thruster 2 enabled.
INFO:Drivers.Revolver:Thruster 3 enabled.
INFO:Drivers.Revolver:Thruster 4 enabled.
INFO:Drivers.Revolver:Thruster 5 enabled.
